08:45:00 10973 10984 10963 10983 4895
08:50:00 10983 10984 10977 10977 1622
08:55:00 10977 10992 10977 10986 3282
09:00:00 10986 10991 10971 10972 4441
09:05:00 10973 10979 10964 10978 3925
09:10:00 10978 10979 10966 10967 2470
09:15:00 10966 10990 10965 10990 4580
09:20:00 10990 11002 10989 11001 5744
09:25:00 11001 11009 10996 11008 4821
09:30:00 11009 11021 11009 11015 7244
09:35:00 11016 11018 11009 11012 4569
09:40:00 11011 11013 11005 11006 3155
09:45:00 11007 11007 10994 11000 4675
09:50:00 10999 10999 10978 10986 6935
09:55:00 10985 10987 10981 10985 2620
10:00:00 10985 10986 10968 10976 5859
10:05:00 10976 10985 10973 10982 2482
10:10:00 10983 10991 10982 10986 2458
10:15:00 10986 11003 10983 11000 4498
10:20:00 11000 11010 10999 11001 3753
10:25:00 11001 11007 10999 11002 1504
10:30:00 11002 11003 10995 11003 1619
10:35:00 11003 11004 10993 10999 1222
10:40:00 10999 11014 10999 11007 3243
10:45:00 11007 11008 10996 10997 2388
10:50:00 10997 10997 10984 10989 3612
10:55:00 10990 10990 10981 10985 2377
11:00:00 10985 10987 10974 10979 3260
11:05:00 10979 10986 10974 10985 2542
11:10:00 10985 10986 10977 10983 1423
11:15:00 10983 10984 10976 10981 1432
11:20:00 10979 10981 10971 10971 2754
11:25:00 10971 10981 10969 10976 2096
11:30:00 10976 10985 10975 10984 1497
11:35:00 10983 10987 10977 10978 1212
11:40:00 10978 10986 10978 10983 732
11:45:00 10984 10985 10977 10981 767
11:50:00 10981 10991 10980 10991 1132
11:55:00 10990 10996 10988 10990 1940
12:00:00 10990 10991 10982 10985 964
12:05:00 10985 10988 10977 10980 1013
12:10:00 10980 10989 10978 10988 1062
12:15:00 10988 10990 10982 10988 1079
12:20:00 10988 10991 10983 10984 658
12:25:00 10984 10987 10981 10983 622
12:30:00 10984 10987 10981 10983 454
12:35:00 10983 10989 10983 10988 661
12:40:00 10988 10988 10982 10985 686
12:45:00 10984 10984 10980 10980 552
12:50:00 10980 10983 10972 10974 1698
12:55:00 10975 10979 10974 10977 1044
13:00:00 10977 10979 10960 10961 4841
13:05:00 10960 10966 10956 10963 2695
13:10:00 10962 10970 10960 10961 1641
13:15:00 10961 10966 10958 10966 1382
13:20:00 10966 10969 10963 10963 1203
13:25:00 10964 10967 10958 10960 1679
13:30:00 10960 10963 10957 10961 1506
13:35:00 10961 10962 10953 10954 1751
13:40:00 10954 10954 10948 10950 3016
10948 11021
