08:45:00 11048 11048 11038 11043 2395
08:50:00 11041 11043 11034 11036 1257
08:55:00 11036 11045 11035 11045 1490
09:00:00 11045 11045 11035 11041 2419
09:05:00 11041 11043 11031 11040 2224
09:10:00 11040 11043 11035 11039 1742
09:15:00 11038 11040 11032 11033 1792
09:20:00 11033 11034 11024 11029 3135
09:25:00 11029 11033 11025 11031 1795
09:30:00 11031 11039 11028 11036 3157
09:35:00 11036 11038 11019 11019 4999
09:40:00 11019 11024 11016 11016 2927
09:45:00 11016 11016 10983 10988 11033
09:50:00 10989 10989 10958 10966 8979
09:55:00 10964 10970 10959 10963 4196
10:00:00 10963 10963 10945 10957 6730
10:05:00 10956 10963 10954 10960 3760
10:10:00 10960 10964 10952 10963 2405
10:15:00 10962 10963 10957 10957 1708
10:20:00 10956 10957 10948 10957 2707
10:25:00 10956 10966 10954 10965 2508
10:30:00 10964 10965 10952 10958 2306
10:35:00 10958 10961 10942 10942 3316
10:40:00 10942 10944 10934 10935 4611
10:45:00 10935 10939 10925 10928 4450
10:50:00 10929 10935 10926 10935 2304
10:55:00 10936 10937 10926 10927 1754
11:00:00 10928 10931 10920 10930 3006
11:05:00 10929 10931 10922 10928 1390
11:10:00 10927 10928 10920 10921 1130
11:15:00 10921 10934 10917 10927 2900
11:20:00 10927 10932 10925 10928 1212
11:25:00 10928 10929 10919 10922 1189
11:30:00 10922 10922 10905 10910 4578
11:35:00 10910 10912 10903 10906 2551
11:40:00 10905 10909 10899 10904 3167
11:45:00 10904 10907 10894 10899 3714
11:50:00 10899 10901 10891 10893 2516
11:55:00 10893 10898 10891 10894 1486
12:00:00 10894 10900 10892 10894 1339
12:05:00 10894 10898 10892 10898 914
12:10:00 10898 10898 10886 10886 1973
12:15:00 10886 10892 10880 10881 1831
12:20:00 10880 10883 10866 10868 4227
12:25:00 10868 10874 10866 10869 1963
12:30:00 10869 10889 10868 10885 3791
12:35:00 10886 10893 10883 10893 2150
12:40:00 10893 10893 10885 10888 1650
12:45:00 10888 10888 10876 10883 1488
12:50:00 10883 10885 10872 10876 1884
12:55:00 10876 10880 10871 10876 1801
13:00:00 10876 10888 10869 10873 3632
13:05:00 10873 10879 10868 10870 1680
13:10:00 10871 10877 10871 10875 1471
13:15:00 10874 10876 10862 10867 2509
13:20:00 10866 10877 10866 10874 2049
13:25:00 10874 10877 10871 10873 2158
13:30:00 10873 10875 10862 10868 2917
13:35:00 10867 10875 10866 10874 2609
13:40:00 10874 10878 10870 10871 3831
10862 11048
