Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20180331,CCF    ,201804/201805,091350,-.01,20,15.55,15.54, 
20180331,CCF    ,201804     ,091352,15.55,2,-,-, 
20180331,CCF    ,201804     ,091352,15.55,6,-,-, 
20180331,CCF    ,201804/201805,091400,-.01,20,15.55,15.54, 
20180331,CCF    ,201804/201805,091401,-.01,20,15.55,15.54, 
20180331,CCF    ,201804/201805,091402,-.01,20,15.55,15.54, 
20180331,CCF    ,201804/201805,091402,-.01,20,15.55,15.54, 
20180331,CCF    ,201804/201805,091403,-.01,20,15.55,15.54, 
20180331,CCF    ,201804/201805,091403,-.01,20,15.55,15.54, 
20180331,CCF    ,201804     ,091429,15.6,2,-,-, 
20180331,CCF    ,201804     ,091445,15.6,4,-,-, 
20180331,CCF    ,201804     ,091455,15.6,2,-,-, 
20180331,CCF    ,201804     ,091529,15.6,4,-,-, 
20180331,CCF    ,201804     ,091530,15.6,10,-,-, 
20180331,CCF    ,201804     ,091530,15.6,24,-,-, 
20180331,CCF    ,201804     ,091530,15.6,2,-,-, 
20180331,CCF    ,201804     ,091531,15.6,18,-,-, 
20180331,CCF    ,201804     ,091535,15.65,8,-,-, 
20180331,CCF    ,201804     ,091535,15.65,14,-,-, 
20180331,CCF    ,201804     ,091537,15.65,10,-,-, 
20180331,CCF    ,201804     ,091537,15.65,6,-,-, 
20180331,CCF    ,201804     ,091537,15.65,4,-,-, 
20180331,CCF    ,201804     ,091537,15.65,2,-,-, 
20180331,CCF    ,201804     ,091537,15.65,2,-,-, 
20180331,CCF    ,201804     ,091537,15.65,4,-,-, 
20180331,CCF    ,201804     ,091541,15.65,2,-,-, 
20180331,CCF    ,201804     ,091541,15.65,4,-,-, 
20180331,CCF    ,201804     ,091541,15.65,2,-,-, 
20180331,CCF    ,201804     ,091608,15.65,8,-,-, 
20180331,CCF    ,201804     ,091609,15.65,2,-,-, 
20180331,CCF    ,201804     ,091609,15.65,2,-,-, 
20180331,CCF    ,201804     ,091621,15.65,2,-,-, 
20180331,CCF    ,201804     ,091631,15.65,2,-,-, 
20180331,CCF    ,201804     ,091718,15.6,4,-,-, 
20180331,CCF    ,201804     ,091718,15.6,10,-,-, 
20180331,CCF    ,201804     ,091718,15.6,2,-,-, 
20180331,CCF    ,201804     ,091718,15.6,2,-,-, 
20180331,CCF    ,201804     ,091718,15.6,2,-,-, 
20180331,CCF    ,201804     ,092138,15.6,10,-,-, 
20180331,CCF    ,201804     ,092249,15.6,2,-,-, 
20180331,CCF    ,201804     ,092606,15.6,2,-,-, 
20180331,CCF    ,201804     ,092726,15.6,8,-,-, 
20180331,CCF    ,201804     ,092840,15.6,2,-,-, 
20180331,CCF    ,201804     ,092902,15.6,10,-,-, 
20180331,CCF    ,201804     ,093314,15.6,2,-,-, 
20180331,CCF    ,201804     ,094711,15.55,2,-,-, 
20180331,CCF    ,201804     ,094711,15.55,2,-,-, 
20180331,CCF    ,201804     ,094750,15.55,2,-,-, 
20180331,CCF    ,201804     ,095234,15.55,2,-,-, 
20180331,CCF    ,201804     ,095413,15.55,10,-,-, 
20180331,CCF    ,201804     ,095413,15.55,2,-,-, 
20180331,CCF    ,201804     ,095413,15.55,2,-,-, 
20180331,CCF    ,201804     ,095413,15.55,2,-,-, 
20180331,CCF    ,201804     ,095413,15.55,2,-,-, 
20180331,CCF    ,201804     ,095413,15.55,4,-,-, 
20180331,CCF    ,201804     ,095413,15.55,2,-,-, 
20180331,CCF    ,201804     ,095413,15.55,2,-,-, 
20180331,CCF    ,201804     ,095732,15.6,20,-,-, 
20180331,CCF    ,201804     ,100154,15.5,12,-,-, 
20180331,CCF    ,201804     ,100211,15.5,8,-,-, 
20180331,CCF    ,201804     ,100803,15.5,2,-,-, 
20180331,CCF    ,201804/201805,104425,0,12,15.5,15.5, 
20180331,CCF    ,201804     ,104528,15.55,10,-,-, 
20180331,CCF    ,201804     ,104528,15.5,2,-,-, 
20180331,CCF    ,201804     ,104528,15.5,2,-,-, 
20180331,CCF    ,201804     ,104528,15.5,2,-,-, 
20180331,CCF    ,201804     ,104528,15.5,2,-,-, 
20180331,CCF    ,201804     ,104543,15.5,2,-,-, 
20180331,CCF    ,201804     ,104628,15.5,2,-,-, 
